municipality,eligible,voters,invalid,valid,אמת,אצ,ב,ג,ד,ום,ז,זך,זנ,זץ,ט,י,יז,ינ,יץ,יק,כן,ך,ל,מחל,מרצ,נז,ני,נף,נץ,נק,נר,עם,פה,ף,צ,ץ,ק,קי,קך,קנ,קץ,רז,שס,ת,knesset,אמת_pct,אצ_pct,ב_pct,ג_pct,ד_pct,ום_pct,ז_pct,זך_pct,זנ_pct,זץ_pct,ט_pct,י_pct,יז_pct,ינ_pct,יץ_pct,יק_pct,כן_pct,ך_pct,ל_pct,מחל_pct,מרצ_pct,נז_pct,ני_pct,נף_pct,נץ_pct,נק_pct,נר_pct,עם_pct,פה_pct,ף_pct,צ_pct,ץ_pct,ק_pct,קי_pct,קך_pct,קנ_pct,קץ_pct,רז_pct,שס_pct,ת_pct,turnout_pct
קרית ים,36834,20491,215,20276,345,57,97,114,1,11,3,2,3,2,1832,6,80,0,3,5,1565,4,2958,8221,128,5,11,2,20,11,3,11,3418,4,51,2,13,1,7,15,50,14,1183,18,25,1.7,0.28,0.48,0.56,0.0,0.05,0.01,0.01,0.01,0.01,9.04,0.03,0.39,0.0,0.01,0.02,7.72,0.02,14.59,40.55,0.63,0.02,0.05,0.01,0.1,0.05,0.01,0.05,16.86,0.02,0.25,0.01,0.06,0.0,0.03,0.07,0.25,0.07,5.83,0.09,55.63
קרית יערים,3496,2720,17,2703,4,3,7,1746,0,1,0,0,0,0,214,0,1,0,0,0,11,0,0,80,0,0,0,0,0,1,0,0,9,0,4,0,0,0,0,0,3,0,619,0,25,0.15,0.11,0.26,64.59,0.0,0.04,0.0,0.0,0.0,0.0,7.92,0.0,0.04,0.0,0.0,0.0,0.41,0.0,0.0,2.96,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.33,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.11,0.0,22.9,0.0,77.8
קרית מוצקין,40960,25947,172,25775,669,69,214,74,8,14,0,1,1,2,2176,5,129,2,2,3,3456,4,1987,8662,325,2,30,1,14,10,3,5,6839,5,59,3,11,2,10,11,59,13,884,11,25,2.6,0.27,0.83,0.29,0.03,0.05,0.0,0.0,0.0,0.01,8.44,0.02,0.5,0.01,0.01,0.01,13.41,0.02,7.71,33.61,1.26,0.01,0.12,0.0,0.05,0.04,0.01,0.02,26.53,0.02,0.23,0.01,0.04,0.01,0.04,0.04,0.23,0.05,3.43,0.04,63.35
קרית מלאכי,17963,12665,74,12591,78,26,87,668,0,2,0,1,1,0,3179,0,34,1,0,1,664,2,168,4791,19,1,4,1,4,3,0,6,302,2,35,1,1,3,5,7,18,1,2472,3,25,0.62,0.21,0.69,5.31,0.0,0.02,0.0,0.01,0.01,0.0,25.25,0.0,0.27,0.01,0.0,0.01,5.27,0.02,1.33,38.05,0.15,0.01,0.03,0.01,0.03,0.02,0.0,0.05,2.4,0.02,0.28,0.01,0.01,0.02,0.04,0.06,0.14,0.01,19.63,0.02,70.51
קרית עקרון,8174,5940,51,5889,76,12,39,49,1,8,0,0,0,1,1121,0,35,0,0,0,442,1,132,2724,35,1,0,0,2,1,1,8,484,1,14,0,3,1,5,3,10,0,678,1,25,1.29,0.2,0.66,0.83,0.02,0.14,0.0,0.0,0.0,0.02,19.04,0.0,0.59,0.0,0.0,0.0,7.51,0.02,2.24,46.26,0.59,0.02,0.0,0.0,0.03,0.02,0.02,0.14,8.22,0.02,0.24,0.0,0.05,0.02,0.08,0.05,0.17,0.0,11.51,0.02,72.67
קרית שמונה,18582,11355,98,11257,159,27,108,71,7,10,0,0,3,1,1539,4,29,0,0,0,825,2,740,5569,77,1,5,2,2,5,2,10,748,7,19,1,6,2,5,5,21,1,1238,6,25,1.41,0.24,0.96,0.63,0.06,0.09,0.0,0.0,0.03,0.01,13.67,0.04,0.26,0.0,0.0,0.0,7.33,0.02,6.57,49.47,0.68,0.01,0.04,0.02,0.02,0.04,0.02,0.09,6.64,0.06,0.17,0.01,0.05,0.02,0.04,0.04,0.19,0.01,11.0,0.05,61.11
ראמה,6574,3634,36,3598,98,1,4,1,548,1289,1,0,0,0,2,3,2,1,0,0,183,0,227,294,296,0,8,0,4,0,2,399,211,0,6,1,2,1,0,3,2,0,6,3,25,2.72,0.03,0.11,0.03,15.23,35.83,0.03,0.0,0.0,0.0,0.06,0.08,0.06,0.03,0.0,0.0,5.09,0.0,6.31,8.17,8.23,0.0,0.22,0.0,0.11,0.0,0.06,11.09,5.86,0.0,0.17,0.03,0.06,0.03,0.0,0.08,0.06,0.0,0.17,0.08,55.28
ראש העין,49148,38128,144,37984,1039,126,345,701,5,25,2,1,2,0,5627,7,160,1,0,1,5321,0,1015,11756,642,1,12,0,3,7,2,18,7539,11,71,4,12,0,10,7,144,5,3359,3,25,2.74,0.33,0.91,1.85,0.01,0.07,0.01,0.0,0.01,0.0,14.81,0.02,0.42,0.0,0.0,0.0,14.01,0.0,2.67,30.95,1.69,0.0,0.03,0.0,0.01,0.02,0.01,0.05,19.85,0.03,0.19,0.01,0.03,0.0,0.03,0.02,0.38,0.01,8.84,0.01,77.58
ראש פינה,2531,1674,7,1667,119,3,18,18,1,12,0,0,0,0,186,0,3,0,0,0,227,0,27,403,141,0,2,0,0,0,0,6,453,1,4,0,1,0,1,0,16,0,25,0,25,7.14,0.18,1.08,1.08,0.06,0.72,0.0,0.0,0.0,0.0,11.16,0.0,0.18,0.0,0.0,0.0,13.62,0.0,1.62,24.18,8.46,0.0,0.12,0.0,0.0,0.0,0.0,0.36,27.17,0.06,0.24,0.0,0.06,0.0,0.06,0.0,0.96,0.0,1.5,0.0,66.14
ראשון לציון,211845,140237,691,139546,3992,509,1037,915,37,82,6,2,2,5,13561,33,625,5,1,8,19255,15,8777,45144,2209,13,50,8,24,29,6,54,35166,48,303,11,48,6,40,31,467,45,6936,41,25,2.86,0.36,0.74,0.66,0.03,0.06,0.0,0.0,0.0,0.0,9.72,0.02,0.45,0.0,0.0,0.01,13.8,0.01,6.29,32.35,1.58,0.01,0.04,0.01,0.02,0.02,0.0,0.04,25.2,0.03,0.22,0.01,0.03,0.0,0.03,0.02,0.33,0.03,4.97,0.03,66.2
רהט,38346,23241,217,23024,122,5,11,4,3233,2894,3,3,1,4,23,0,6,3,6,4,225,12,8,367,951,3,0,2,9,4,2,14772,218,7,16,17,3,6,11,11,10,6,32,10,25,0.53,0.02,0.05,0.02,14.04,12.57,0.01,0.01,0.0,0.02,0.1,0.0,0.03,0.01,0.03,0.02,0.98,0.05,0.03,1.59,4.13,0.01,0.0,0.01,0.04,0.02,0.01,64.16,0.95,0.03,0.07,0.07,0.01,0.03,0.05,0.05,0.04,0.03,0.14,0.04,60.61
רחובות,111435,76744,340,76404,3144,284,1070,2778,41,129,5,2,3,2,9983,12,318,1,1,4,8072,6,3989,19688,2476,11,23,1,18,17,5,63,17646,24,150,3,28,7,26,13,248,16,6082,15,25,4.11,0.37,1.4,3.64,0.05,0.17,0.01,0.0,0.0,0.0,13.07,0.02,0.42,0.0,0.0,0.01,10.56,0.01,5.22,25.77,3.24,0.01,0.03,0.0,0.02,0.02,0.01,0.08,23.1,0.03,0.2,0.0,0.04,0.01,0.03,0.02,0.32,0.02,7.96,0.02,68.87
ריינה,11959,6313,83,6230,28,2,0,5,2278,1936,1,0,0,2,7,0,2,2,0,1,8,1,10,89,44,0,4,1,2,0,0,1696,64,2,4,15,3,1,1,2,11,1,6,1,25,0.45,0.03,0.0,0.08,36.57,31.08,0.02,0.0,0.0,0.03,0.11,0.0,0.03,0.03,0.0,0.02,0.13,0.02,0.16,1.43,0.71,0.0,0.06,0.02,0.03,0.0,0.0,27.22,1.03,0.03,0.06,0.24,0.05,0.02,0.02,0.03,0.18,0.02,0.1,0.02,52.79
רכסים,6974,5873,36,5837,15,3,6,2412,0,0,0,0,0,0,255,0,0,0,0,0,35,0,15,271,7,0,0,0,0,0,0,0,40,0,5,0,0,0,0,0,3,0,2770,0,25,0.26,0.05,0.1,41.32,0.0,0.0,0.0,0.0,0.0,0.0,4.37,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.26,4.64,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.05,0.0,47.46,0.0,84.21
רמלה,57383,36627,392,36235,495,67,124,144,2168,1490,0,0,1,5,4593,7,112,1,1,3,1792,10,1106,14288,338,6,14,5,1,5,5,2130,2224,4,85,8,6,5,6,9,57,4,4898,18,25,1.37,0.18,0.34,0.4,5.98,4.11,0.0,0.0,0.0,0.01,12.68,0.02,0.31,0.0,0.0,0.01,4.95,0.03,3.05,39.43,0.93,0.02,0.04,0.01,0.0,0.01,0.01,5.88,6.14,0.01,0.23,0.02,0.02,0.01,0.02,0.02,0.16,0.01,13.52,0.05,63.83
רמת גן,139055,90709,367,90342,5961,531,978,843,76,328,4,7,3,6,6440,25,365,2,1,3,12910,4,3450,20172,5009,2,22,2,15,20,3,86,28672,19,186,9,24,3,29,24,451,11,3631,15,25,6.6,0.59,1.08,0.93,0.08,0.36,0.0,0.01,0.0,0.01,7.13,0.03,0.4,0.0,0.0,0.0,14.29,0.0,3.82,22.33,5.54,0.0,0.02,0.0,0.02,0.02,0.0,0.1,31.74,0.02,0.21,0.01,0.03,0.0,0.03,0.03,0.5,0.01,4.02,0.02,65.23
רמת השרון,38282,27342,67,27275,1971,56,174,420,6,83,1,0,0,1,1002,2,54,1,2,3,3619,1,734,4278,2306,0,8,0,4,0,0,40,11511,4,35,2,5,0,6,3,112,1,829,1,25,7.23,0.21,0.64,1.54,0.02,0.3,0.0,0.0,0.0,0.0,3.67,0.01,0.2,0.0,0.01,0.01,13.27,0.0,2.69,15.68,8.45,0.0,0.03,0.0,0.01,0.0,0.0,0.15,42.2,0.01,0.13,0.01,0.02,0.0,0.02,0.01,0.41,0.0,3.04,0.0,71.42
רמת ישי,6016,4373,18,4355,270,10,44,6,0,3,0,0,0,0,319,0,17,0,0,0,757,0,120,1023,170,0,0,0,1,0,0,1,1516,2,2,0,1,0,0,2,32,0,59,0,25,6.2,0.23,1.01,0.14,0.0,0.07,0.0,0.0,0.0,0.0,7.32,0.0,0.39,0.0,0.0,0.0,17.38,0.0,2.76,23.49,3.9,0.0,0.0,0.0,0.02,0.0,0.0,0.02,34.81,0.05,0.05,0.0,0.02,0.0,0.0,0.05,0.73,0.0,1.35,0.0,72.69
רמת נגב,5120,3252,9,3243,465,13,116,9,3,16,1,0,0,0,360,0,24,0,0,1,473,0,93,376,316,0,1,0,0,2,0,8,888,2,3,0,2,0,0,2,38,0,29,2,25,14.34,0.4,3.58,0.28,0.09,0.49,0.03,0.0,0.0,0.0,11.1,0.0,0.74,0.0,0.0,0.03,14.59,0.0,2.87,11.59,9.74,0.0,0.03,0.0,0.0,0.06,0.0,0.25,27.38,0.06,0.09,0.0,0.06,0.0,0.0,0.06,1.17,0.0,0.89,0.06,63.52
רעננה,69652,46392,169,46223,2326,172,1346,522,15,62,2,2,1,3,4566,13,127,1,2,0,6402,1,1221,9456,2114,2,21,0,7,11,4,30,15173,8,74,3,10,0,14,12,190,0,2301,9,25,5.03,0.37,2.91,1.13,0.03,0.13,0.0,0.0,0.0,0.01,9.88,0.03,0.27,0.0,0.0,0.0,13.85,0.0,2.64,20.46,4.57,0.0,0.05,0.0,0.02,0.02,0.01,0.06,32.83,0.02,0.16,0.01,0.02,0.0,0.03,0.03,0.41,0.0,4.98,0.02,66.61
שגב שלום,6049,3222,35,3187,7,0,0,1,42,802,0,1,0,1,0,0,0,1,1,1,3,0,0,53,16,0,1,0,0,1,0,2235,3,1,2,1,2,1,2,0,1,0,4,4,25,0.22,0.0,0.0,0.03,1.32,25.16,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.03,0.03,0.03,0.09,0.0,0.0,1.66,0.5,0.0,0.03,0.0,0.0,0.03,0.0,70.13,0.09,0.03,0.06,0.03,0.06,0.03,0.06,0.0,0.03,0.0,0.13,0.13,53.27
שדות נגב,7065,5607,12,5595,35,10,315,51,0,0,0,1,0,0,1764,0,8,0,1,0,286,0,18,2278,22,0,0,0,0,0,0,0,153,1,4,1,0,0,0,0,9,0,637,1,25,0.63,0.18,5.63,0.91,0.0,0.0,0.0,0.02,0.0,0.0,31.53,0.0,0.14,0.0,0.02,0.0,5.11,0.0,0.32,40.71,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73,0.02,0.07,0.02,0.0,0.0,0.0,0.0,0.16,0.0,11.39,0.02,79.36
שדרות,23403,15342,100,15242,169,46,99,149,5,13,1,0,0,0,3742,1,62,1,1,5,860,1,792,6329,113,0,8,0,5,4,0,16,888,6,40,2,4,2,2,1,26,4,1838,7,25,1.11,0.3,0.65,0.98,0.03,0.09,0.01,0.0,0.0,0.0,24.55,0.01,0.41,0.01,0.01,0.03,5.64,0.01,5.2,41.52,0.74,0.0,0.05,0.0,0.03,0.03,0.0,0.1,5.83,0.04,0.26,0.01,0.03,0.01,0.01,0.01,0.17,0.03,12.06,0.05,65.56
שהם,17006,12931,21,12910,653,78,455,41,2,10,0,0,0,0,1032,3,46,0,0,0,2425,1,292,2802,431,0,0,0,5,2,0,4,4269,4,21,0,4,0,0,0,40,0,289,1,25,5.06,0.6,3.52,0.32,0.02,0.08,0.0,0.0,0.0,0.0,7.99,0.02,0.36,0.0,0.0,0.0,18.78,0.01,2.26,21.7,3.34,0.0,0.0,0.0,0.04,0.02,0.0,0.03,33.07,0.03,0.16,0.0,0.03,0.0,0.0,0.0,0.31,0.0,2.24,0.01,76.04
שלומי,5887,3913,25,3888,65,10,23,24,2,4,0,0,0,0,606,1,17,0,0,0,292,0,265,1692,22,0,1,0,0,0,0,2,457,1,11,0,1,0,1,0,19,1,370,1,25,1.67,0.26,0.59,0.62,0.05,0.1,0.0,0.0,0.0,0.0,15.59,0.03,0.44,0.0,0.0,0.0,7.51,0.0,6.82,43.52,0.57,0.0,0.03,0.0,0.0,0.0,0.0,0.05,11.75,0.03,0.28,0.0,0.03,0.0,0.03,0.0,0.49,0.03,9.52,0.03,66.47
שעב,5247,3337,24,3313,27,0,0,2,542,1514,0,0,1,1,1,0,2,0,0,3,6,0,1,20,14,1,3,0,0,1,1,1021,142,0,2,2,0,0,0,0,1,1,4,0,25,0.81,0.0,0.0,0.06,16.36,45.7,0.0,0.0,0.03,0.03,0.03,0.0,0.06,0.0,0.0,0.09,0.18,0.0,0.03,0.6,0.42,0.03,0.09,0.0,0.0,0.03,0.03,30.82,4.29,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.03,0.03,0.12,0.0,63.6
שער הנגב,6458,4504,13,4491,696,16,28,6,4,10,0,0,0,0,263,2,17,0,0,0,903,0,80,588,366,1,1,0,2,2,0,5,1408,2,8,0,0,0,2,0,26,0,55,0,25,15.5,0.36,0.62,0.13,0.09,0.22,0.0,0.0,0.0,0.0,5.86,0.04,0.38,0.0,0.0,0.0,20.11,0.0,1.78,13.09,8.15,0.02,0.02,0.0,0.04,0.04,0.0,0.11,31.35,0.04,0.18,0.0,0.0,0.0,0.04,0.0,0.58,0.0,1.22,0.0,69.74
שפיר,7884,6550,10,6540,42,21,338,390,0,2,0,0,0,0,2318,1,11,0,0,0,271,0,19,1839,23,0,0,0,0,0,0,0,169,1,9,1,2,1,0,0,5,0,1076,1,25,0.64,0.32,5.17,5.96,0.0,0.03,0.0,0.0,0.0,0.0,35.44,0.02,0.17,0.0,0.0,0.0,4.14,0.0,0.29,28.12,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58,0.02,0.14,0.02,0.03,0.02,0.0,0.0,0.08,0.0,16.45,0.02,83.08
שפרעם,30875,15890,187,15703,316,3,4,14,3516,5742,4,0,1,2,13,37,13,3,5,5,304,3,1291,256,430,1,14,3,6,2,3,3165,458,7,9,20,8,2,5,11,14,0,11,2,25,2.01,0.02,0.03,0.09,22.39,36.57,0.03,0.0,0.01,0.01,0.08,0.24,0.08,0.02,0.03,0.03,1.94,0.02,8.22,1.63,2.74,0.01,0.09,0.02,0.04,0.01,0.02,20.16,2.92,0.04,0.06,0.13,0.05,0.01,0.03,0.07,0.09,0.0,0.07,0.01,51.47
תל אביב -יפו,447576,266837,1041,265796,24603,1149,1987,2204,4090,4058,11,5,3,13,11968,58,716,3,9,7,29291,39,8806,45221,29060,12,53,7,46,57,9,1826,87227,71,323,38,89,13,57,50,1111,20,11442,44,25,9.26,0.43,0.75,0.83,1.54,1.53,0.0,0.0,0.0,0.0,4.5,0.02,0.27,0.0,0.0,0.0,11.02,0.01,3.31,17.01,10.93,0.0,0.02,0.0,0.02,0.02,0.0,0.69,32.82,0.03,0.12,0.01,0.03,0.0,0.02,0.02,0.42,0.01,4.3,0.02,59.62
תל מונד,10458,7815,23,7792,416,36,120,19,1,7,0,0,0,0,535,3,18,0,0,0,1195,1,186,1679,273,0,2,0,1,0,0,2,3029,1,12,0,3,2,2,1,44,0,203,1,25,5.34,0.46,1.54,0.24,0.01,0.09,0.0,0.0,0.0,0.0,6.87,0.04,0.23,0.0,0.0,0.0,15.34,0.01,2.39,21.55,3.5,0.0,0.03,0.0,0.01,0.0,0.0,0.03,38.87,0.01,0.15,0.0,0.04,0.03,0.03,0.01,0.56,0.0,2.61,0.01,74.73
תל שבע,10918,5820,54,5766,11,3,0,1,429,461,0,0,0,0,2,0,0,0,0,0,3,0,0,59,17,0,1,0,1,0,2,4692,46,0,4,3,1,1,6,4,4,1,10,4,25,0.19,0.05,0.0,0.02,7.44,8.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,1.02,0.29,0.0,0.02,0.0,0.02,0.0,0.03,81.37,0.8,0.0,0.07,0.05,0.02,0.02,0.1,0.07,0.07,0.02,0.17,0.07,53.31
תמר,1048,636,0,636,95,2,10,5,1,5,0,0,0,0,23,0,1,0,0,2,105,0,10,78,50,0,0,0,0,2,0,2,224,0,3,0,0,0,0,1,13,0,4,0,25,14.94,0.31,1.57,0.79,0.16,0.79,0.0,0.0,0.0,0.0,3.62,0.0,0.16,0.0,0.0,0.31,16.51,0.0,1.57,12.26,7.86,0.0,0.0,0.0,0.0,0.31,0.0,0.31,35.22,0.0,0.47,0.0,0.0,0.0,0.0,0.16,2.04,0.0,0.63,0.0,60.69
