municipality,right_avg,right_std,haredi_avg,haredi_std,center_avg,center_std,left_avg,left_std,arab_avg,arab_std,avg_votes,dominant_bloc,left_right_score,religious_score
יסוד המעלה,30.76281441251057,1.743849218891639,1.2603695598128155,0.6896389653980296,51.447461991341115,3.447378731400772,13.78271582769032,2.785869338845412,0.20205596301524936,0.13104977749367083,891.2,center,16.980098584820247,1.3613975413204402
יפיע,2.983699551168308,1.3745282381287922,0.4701017383748047,0.3843403937640393,2.487058571297927,1.487281361040145,3.8832786997155004,1.9894522280362121,89.37627408955312,4.335014452788845,6912.0,arab,-0.8995791485471925,45.15823878315137
יקנעם עילית,52.87570792732993,2.4475736638574874,4.693967233061342,0.6319019117568311,33.73186972842865,2.2991974582648376,6.544667365192336,1.4031780896889028,0.10110317478967996,0.06184499439126259,12418.4,right,46.33104056213759,4.7445188204561815
ירוחם,60.968039500146496,2.5670087540968436,18.62346045366219,1.153902262689013,12.555164821231704,2.500269781873591,3.4252148538271543,1.1452278056898137,1.426312750418936,0.35851500107437645,4872.8,right,57.54282464631934,19.33661682887166
ירושלים,36.24853962208763,3.8707842485740453,40.17945521257428,1.809923575723734,12.917335234471917,1.2212481274023255,6.214248065622625,1.0276733073648434,1.4778263260780158,0.43713373475406053,258992.8,haredi,30.034291556465,40.91836837561329
ירכא,50.25870805406781,9.101625416095345,5.204811946184655,2.89037881962649,28.351871411734653,9.728087446724281,6.245679688599464,1.841988998380598,8.748152576550702,4.121316437630554,5783.2,right,44.013028365468344,9.578888234460006
כאבול,0.47048093909434935,0.20703405343428452,1.1835602154502358,1.3253571111176583,0.5409814196268846,0.5910375261881345,0.9509099205507537,0.875546558004638,96.20798222843227,3.0294401807718683,5771.4,arab,-0.4804289814564044,49.28755132966637
כאוכב אבו אל-היג'א,0.45043452504705883,0.47452999080407715,0.0677787313567806,0.05868261767257043,0.4513986405398037,0.24541883463303107,0.9497450523590244,0.8678525153273728,97.81465434338482,1.0564180145648063,1798.6,arab,-0.49931052731196557,48.97510590304919
כוכב יאיר,28.22832960916936,2.693240718982935,0.6095066237390734,0.12241963608502068,53.68275340597599,3.699456648394953,15.523068630296981,3.5682139477140997,0.1417582802921154,0.06103671121889601,5822.2,center,12.70526097887238,0.6803857638851311
כסייפה,1.2384437855502217,0.4669600886491985,0.5919753554146445,0.4286621043599173,5.235518784348182,1.400568798395891,2.4798331931421305,1.3952410827591382,89.26570976530738,2.9290772274674466,4540.2,arab,-1.2413894075919087,45.224830238068336
כסרא - סמיע,47.15998744302588,13.9676250061564,1.5717199167631375,1.8105426136830545,32.00246411237233,10.584048756562996,11.847443696053123,4.363295045571792,5.63492340349937,2.4946335708093947,2926.8,right,35.31254374697275,4.389181618512822
כעביה - טבאש - חג'אג'רה,5.918603838954039,4.116010339841183,2.193234436506361,3.4996576067925833,13.338768990381629,9.515383602048832,11.646931137309622,8.892904745433523,64.08331254534622,19.580010977454837,1909.6,arab,-5.728327298355583,34.23489070917947
כפר ברא,1.0742026762215482,1.2173258385923096,0.6131865992095078,0.7513692642531531,1.0848720952116298,0.8824042564281862,9.145068689389806,9.291807090358537,87.43182041886175,10.678710843761117,1571.4,arab,-8.070866013168258,44.32909680864038
כפר ורדים,21.058320411718114,2.067681725552338,0.45755601475177937,0.172909607398633,54.37635487887485,4.852586195004688,21.01426679262055,4.426606393308613,1.439678433329885,0.6669891363890305,3274.8,center,0.04405361909756422,1.177395231416722
כפר יאסיף,3.6102186778070084,0.9208634772644932,0.4637947275325853,0.20750728792176956,3.728079423953487,1.254834089815824,4.844303725777905,2.411282901128392,86.70761600637566,4.114278314132824,5040.0,arab,-1.234085047970897,43.81760273072042
