municipality,eligible,voters,invalid,valid,אמת,ב,ג,ודעם,ז,זץ,ט,י,יז,ינ,יף,יק,יר,כ,כך,כן,ל,מחל,מרצ,נ,ני,נר,עם,פה,ףז,צי,צכ,צף,ץ,ק,קי,קך,קץ,ר,רנ,רף,רק,שס,ת,Unnamed: 46,knesset,אמת_pct,ב_pct,ג_pct,ודעם_pct,ז_pct,זץ_pct,ט_pct,י_pct,יז_pct,ינ_pct,יף_pct,יק_pct,יר_pct,כ_pct,כך_pct,כן_pct,ל_pct,מחל_pct,מרצ_pct,נ_pct,ני_pct,נר_pct,עם_pct,פה_pct,ףז_pct,צי_pct,צכ_pct,צף_pct,ץ_pct,ק_pct,קי_pct,קך_pct,קץ_pct,ר_pct,רנ_pct,רף_pct,רק_pct,שס_pct,ת_pct,Unnamed: 46_pct,turnout_pct
קרית טבעון,13918,9345,30,9315,1765,365,98,64,0,0,130,2,119,0,0,0,1,1,1,1079,264,1253,1269,0,0,0,3,2305,5,2,0,0,1,0,1,2,1,51,4,0,0,63,466,0.0,24,18.95,3.92,1.05,0.69,0.0,0.0,1.4,0.02,1.28,0.0,0.0,0.0,0.01,0.01,0.01,11.58,2.83,13.45,13.62,0.0,0.0,0.0,0.03,24.75,0.05,0.02,0.0,0.0,0.01,0.0,0.01,0.02,0.01,0.55,0.04,0.0,0.0,0.68,5.0,0.0,67.14
קרית ים,36295,19391,167,19224,490,945,66,5,0,2,398,5,174,0,0,2,2,2,7,868,3409,7899,177,6,6,2,8,2505,3,3,1,4,1,10,4,2,2,101,9,4,0,813,1289,0.0,24,2.55,4.92,0.34,0.03,0.0,0.01,2.07,0.03,0.91,0.0,0.0,0.01,0.01,0.01,0.04,4.52,17.73,41.09,0.92,0.03,0.03,0.01,0.04,13.03,0.02,0.02,0.01,0.02,0.01,0.05,0.02,0.01,0.01,0.53,0.05,0.02,0.0,4.23,6.71,0.0,53.43
קרית יערים,3391,2500,12,2488,9,23,1659,0,0,0,185,0,2,0,0,0,0,0,0,6,0,81,3,0,0,0,0,6,1,0,0,1,1,0,0,0,0,31,0,2,0,468,10,0.0,24,0.36,0.92,66.68,0.0,0.0,0.0,7.44,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,3.26,0.12,0.0,0.0,0.0,0.0,0.24,0.04,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,1.25,0.0,0.08,0.0,18.81,0.4,0.0,73.72
קרית מוצקין,39426,24409,137,24272,1129,1675,65,14,6,2,503,10,236,0,3,1,1,2,17,2122,2307,7738,503,4,2,2,3,5067,2,2,2,0,0,3,2,2,2,103,12,5,0,677,2048,0.0,24,4.65,6.9,0.27,0.06,0.02,0.01,2.07,0.04,0.97,0.0,0.01,0.0,0.0,0.01,0.07,8.74,9.5,31.88,2.07,0.02,0.01,0.01,0.01,20.88,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.42,0.05,0.02,0.0,2.79,8.44,0.0,61.91
קרית מלאכי,17485,10922,76,10846,112,563,570,4,0,1,1791,2,62,1,0,0,1,2,10,505,180,4550,28,3,2,2,3,241,1,1,2,0,1,1,1,1,6,45,6,2,0,1834,312,0.0,24,1.03,5.19,5.26,0.04,0.0,0.01,16.51,0.02,0.57,0.01,0.0,0.0,0.01,0.02,0.09,4.66,1.66,41.95,0.26,0.03,0.02,0.02,0.03,2.22,0.01,0.01,0.02,0.0,0.01,0.01,0.01,0.01,0.06,0.41,0.06,0.02,0.0,16.91,2.88,0.0,62.46
קרית עקרון,8224,5536,40,5496,125,340,32,12,0,0,299,1,56,0,0,1,0,0,6,315,161,2798,46,1,0,0,2,396,0,1,1,1,0,0,0,0,1,17,3,1,0,589,291,0.0,24,2.27,6.19,0.58,0.22,0.0,0.0,5.44,0.02,1.02,0.0,0.0,0.02,0.0,0.0,0.11,5.73,2.93,50.91,0.84,0.02,0.0,0.0,0.04,7.21,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.02,0.31,0.05,0.02,0.0,10.72,5.29,0.0,67.32
קרית שמונה,18324,10474,81,10393,257,573,40,12,1,1,560,3,50,0,0,1,0,2,6,399,917,5339,110,3,0,0,4,527,3,0,2,0,0,2,0,0,1,30,4,3,0,971,572,0.0,24,2.47,5.51,0.38,0.12,0.01,0.01,5.39,0.03,0.48,0.0,0.0,0.01,0.0,0.02,0.06,3.84,8.82,51.37,1.06,0.03,0.0,0.0,0.04,5.07,0.03,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.01,0.29,0.04,0.03,0.0,9.34,5.5,0.0,57.16
ראמה,6456,3517,54,3463,68,4,2,1423,0,0,2,0,3,0,0,0,0,0,0,83,220,486,222,0,0,0,342,142,0,1,0,0,1,1,1,1,0,2,0,1,0,24,434,0.0,24,1.96,0.12,0.06,41.09,0.0,0.0,0.06,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,2.4,6.35,14.03,6.41,0.0,0.0,0.0,9.88,4.1,0.0,0.03,0.0,0.0,0.03,0.03,0.03,0.03,0.0,0.06,0.0,0.03,0.0,0.69,12.53,0.0,54.48
ראש העין,46544,34841,104,34737,1759,2600,534,21,1,2,2083,12,384,1,0,1,2,4,5,3677,1139,10609,972,4,1,0,3,5718,7,2,2,3,2,2,0,1,2,164,15,2,0,2844,2159,0.0,24,5.06,7.48,1.54,0.06,0.0,0.01,6.0,0.03,1.11,0.0,0.0,0.0,0.01,0.01,0.01,10.59,3.28,30.54,2.8,0.01,0.0,0.0,0.01,16.46,0.02,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.47,0.04,0.01,0.0,8.19,6.22,0.0,74.86
ראש פינה,2478,1642,5,1637,262,77,5,8,0,0,113,1,9,0,0,0,0,0,0,181,48,353,177,0,0,0,4,277,0,0,0,0,0,0,0,0,0,16,0,0,0,24,82,0.0,24,16.0,4.7,0.31,0.49,0.0,0.0,6.9,0.06,0.55,0.0,0.0,0.0,0.0,0.0,0.0,11.06,2.93,21.56,10.81,0.0,0.0,0.0,0.24,16.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,1.47,5.01,0.0,66.26
ראשון לציון,208797,134508,572,133936,6375,8336,726,74,11,7,3722,38,1479,6,1,10,5,10,66,12444,10857,42313,3247,10,10,7,18,28289,31,13,1,5,8,10,8,12,13,645,51,9,0,5107,9962,0.0,24,4.76,6.22,0.54,0.06,0.01,0.01,2.78,0.03,1.1,0.0,0.0,0.01,0.0,0.01,0.05,9.29,8.11,31.59,2.42,0.01,0.01,0.01,0.01,21.12,0.02,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.48,0.04,0.01,0.0,3.81,7.44,0.0,64.42
רהט,35764,17087,200,16887,75,13,10,3735,3,2,1,1,507,4,2,3,5,3,8,42,10,1026,470,2,6,7,10626,89,4,5,7,9,2,7,11,16,10,5,11,12,0,14,124,0.0,24,0.44,0.08,0.06,22.12,0.02,0.01,0.01,0.01,3.0,0.02,0.01,0.02,0.03,0.02,0.05,0.25,0.06,6.08,2.78,0.01,0.04,0.04,62.92,0.53,0.02,0.03,0.04,0.05,0.01,0.04,0.07,0.09,0.06,0.03,0.07,0.07,0.0,0.08,0.73,0.0,47.78
רחובות,109092,72849,306,72543,4800,4967,2585,103,6,6,4493,10,675,0,1,2,5,3,20,5370,4383,19102,3348,6,9,4,23,13112,26,6,0,3,4,4,8,5,10,314,15,9,0,4903,4203,0.0,24,6.62,6.85,3.56,0.14,0.01,0.01,6.19,0.01,0.93,0.0,0.0,0.0,0.01,0.0,0.03,7.4,6.04,26.33,4.62,0.01,0.01,0.01,0.03,18.07,0.04,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.43,0.02,0.01,0.0,6.76,5.79,0.0,66.78
ריינה,11664,5280,72,5208,21,0,1,2876,0,0,5,0,28,7,0,0,0,0,2,9,0,144,158,0,0,1,1863,75,0,0,0,1,1,0,1,1,1,0,2,2,0,6,3,0.0,24,0.4,0.0,0.02,55.22,0.0,0.0,0.1,0.0,0.54,0.13,0.0,0.0,0.0,0.0,0.04,0.17,0.0,2.76,3.03,0.0,0.0,0.02,35.77,1.44,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.02,0.02,0.0,0.04,0.04,0.0,0.12,0.06,0.0,45.27
רכסים,6603,5393,32,5361,13,32,2309,0,0,0,121,0,4,0,0,0,0,0,0,21,20,337,10,0,1,0,0,50,1,0,0,0,0,1,0,0,0,6,0,1,0,2416,18,0.0,24,0.24,0.6,43.07,0.0,0.0,0.0,2.26,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.37,6.29,0.19,0.0,0.02,0.0,0.0,0.93,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.11,0.0,0.02,0.0,45.07,0.34,0.0,81.67
רמלה,56406,31730,362,31368,613,1325,122,1946,4,1,1118,3,210,6,4,2,3,5,11,968,1359,14159,533,2,6,2,1756,1896,6,1,2,1,7,5,5,6,10,121,9,6,0,3765,1370,0.0,24,1.95,4.22,0.39,6.2,0.01,0.0,3.56,0.01,0.67,0.02,0.01,0.01,0.01,0.02,0.04,3.09,4.33,45.14,1.7,0.01,0.02,0.01,5.6,6.04,0.02,0.0,0.01,0.0,0.02,0.02,0.02,0.02,0.03,0.39,0.03,0.02,0.0,12.0,4.37,0.0,56.25
רמת גן,135884,87996,323,87673,8960,5031,700,237,9,9,2588,18,1236,1,2,2,2,7,20,9831,3999,19093,6634,9,1,4,23,20479,10,4,2,0,6,2,2,11,5,407,40,8,0,2720,5561,0.0,24,10.22,5.74,0.8,0.27,0.01,0.01,2.95,0.02,1.41,0.0,0.0,0.0,0.0,0.01,0.02,11.21,4.56,21.78,7.57,0.01,0.0,0.0,0.03,23.36,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.46,0.05,0.01,0.0,3.1,6.34,0.0,64.76
רמת השרון,37614,27000,45,26955,3025,953,403,45,1,2,455,2,188,0,0,1,2,2,6,3766,848,4181,3294,0,1,0,6,7858,4,0,1,0,0,0,2,7,1,66,6,2,0,592,1235,0.0,24,11.22,3.54,1.5,0.17,0.0,0.01,1.69,0.01,0.7,0.0,0.0,0.0,0.01,0.01,0.02,13.97,3.15,15.51,12.22,0.0,0.0,0.0,0.02,29.15,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.24,0.02,0.01,0.0,2.2,4.58,0.0,71.78
רמת ישי,5835,4297,13,4284,409,271,9,1,1,0,86,1,34,0,0,0,0,0,2,552,124,971,229,0,0,0,0,1179,0,0,0,0,0,0,0,0,0,15,0,1,0,53,346,0.0,24,9.55,6.33,0.21,0.02,0.02,0.0,2.01,0.02,0.79,0.0,0.0,0.0,0.0,0.0,0.05,12.89,2.89,22.67,5.35,0.0,0.0,0.0,0.0,27.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.02,0.0,1.24,8.08,0.0,73.64
רמת נגב,4869,3202,12,3190,707,336,2,14,0,0,165,0,29,0,0,0,0,0,0,398,139,301,410,0,0,0,6,507,2,1,0,0,0,0,1,0,0,18,2,2,0,19,131,0.0,24,22.16,10.53,0.06,0.44,0.0,0.0,5.17,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,12.48,4.36,9.44,12.85,0.0,0.0,0.0,0.19,15.89,0.06,0.03,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.56,0.06,0.06,0.0,0.6,4.11,0.0,65.76
רעננה,66998,44677,138,44539,3526,5262,488,44,3,2,2017,4,301,0,0,2,0,3,12,4853,1349,8773,2991,4,0,2,6,10621,5,2,1,1,3,0,1,5,3,169,11,2,0,1627,2446,0.0,24,7.92,11.81,1.1,0.1,0.01,0.0,4.53,0.01,0.68,0.0,0.0,0.0,0.0,0.01,0.03,10.9,3.03,19.7,6.72,0.01,0.0,0.0,0.01,23.85,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.38,0.02,0.0,0.0,3.65,5.49,0.0,66.68
שגב שלום,5507,2717,24,2693,3,2,25,215,0,1,0,1,0,0,0,1,1,0,3,1,0,24,6,0,0,1,2333,9,1,1,1,3,0,0,0,3,5,0,1,0,0,52,0,0.0,24,0.11,0.07,0.93,7.98,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.04,0.04,0.0,0.11,0.04,0.0,0.89,0.22,0.0,0.0,0.04,86.63,0.33,0.04,0.04,0.04,0.11,0.0,0.0,0.0,0.11,0.19,0.0,0.04,0.0,0.0,1.93,0.0,0.0,49.34
שדות נגב,6810,5260,10,5250,77,917,42,2,0,1,1036,0,16,0,0,0,0,1,0,146,12,2165,26,0,0,0,1,103,0,0,0,1,0,0,0,0,0,31,1,0,0,488,184,0.0,24,1.47,17.47,0.8,0.04,0.0,0.02,19.73,0.0,0.3,0.0,0.0,0.0,0.0,0.02,0.0,2.78,0.23,41.24,0.5,0.0,0.0,0.0,0.02,1.96,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.59,0.02,0.0,0.0,9.3,3.5,0.0,77.24
שדרות,21394,12793,92,12701,254,1711,98,16,1,0,1342,5,66,0,0,6,2,1,5,392,964,5227,132,7,1,0,7,543,3,1,0,0,1,0,0,1,2,60,3,2,0,1425,423,0.0,24,2.0,13.47,0.77,0.13,0.01,0.0,10.57,0.04,0.52,0.0,0.0,0.05,0.02,0.01,0.04,3.09,7.59,41.15,1.04,0.06,0.01,0.0,0.06,4.28,0.02,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.02,0.47,0.02,0.02,0.0,11.22,3.33,0.0,59.8
שהם,15973,12038,19,12019,977,1414,17,10,0,1,401,2,108,0,0,0,0,1,1,1520,305,2395,605,0,1,0,0,3107,3,0,0,1,0,0,0,0,0,31,1,0,0,217,901,0.0,24,8.13,11.76,0.14,0.08,0.0,0.01,3.34,0.02,0.9,0.0,0.0,0.0,0.0,0.01,0.01,12.65,2.54,19.93,5.03,0.0,0.01,0.0,0.0,25.85,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.26,0.01,0.0,0.0,1.81,7.5,0.0,75.36
שלומי,5415,3450,24,3426,79,231,19,4,0,0,120,1,21,0,0,0,0,0,1,126,313,1501,38,0,0,0,1,331,1,1,1,0,0,0,0,0,0,25,0,0,0,445,167,0.0,24,2.31,6.74,0.55,0.12,0.0,0.0,3.5,0.03,0.61,0.0,0.0,0.0,0.0,0.0,0.03,3.68,9.14,43.81,1.11,0.0,0.0,0.0,0.03,9.66,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,12.99,4.87,0.0,63.71
שעב,5038,2965,19,2946,2,2,0,1499,0,0,0,0,1,3,1,2,1,0,0,1,0,23,18,0,1,0,1296,49,0,0,0,2,1,0,1,0,3,0,1,0,0,2,37,0.0,24,0.07,0.07,0.0,50.88,0.0,0.0,0.0,0.0,0.03,0.1,0.03,0.07,0.03,0.0,0.0,0.03,0.0,0.78,0.61,0.0,0.03,0.0,43.99,1.66,0.0,0.0,0.0,0.07,0.03,0.0,0.03,0.0,0.1,0.0,0.03,0.0,0.0,0.07,1.26,0.0,58.85
שער הנגב,6198,4367,12,4355,1060,203,3,10,0,3,91,0,56,0,0,0,1,0,1,686,124,490,532,0,0,1,0,888,0,1,0,0,0,0,0,2,1,13,0,0,0,39,150,0.0,24,24.34,4.66,0.07,0.23,0.0,0.07,2.09,0.0,1.29,0.0,0.0,0.0,0.02,0.0,0.02,15.75,2.85,11.25,12.22,0.0,0.0,0.02,0.0,20.39,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.3,0.0,0.0,0.0,0.9,3.44,0.0,70.46
שפיר,7466,5947,13,5934,76,856,278,0,0,1,1547,2,16,0,0,0,0,1,0,111,16,1864,26,0,0,0,0,145,0,0,0,0,0,0,0,0,0,5,1,1,0,835,153,0.0,24,1.28,14.43,4.68,0.0,0.0,0.02,26.07,0.03,0.27,0.0,0.0,0.0,0.0,0.02,0.0,1.87,0.27,31.41,0.44,0.0,0.0,0.0,0.0,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.02,0.0,14.07,2.58,0.0,79.65
שפרעם,29818,13366,151,13215,245,12,2,7118,1,1,1,1,91,18,1,2,2,0,1,91,1532,445,551,1,3,0,2552,387,0,2,1,6,1,2,1,3,2,3,2,1,0,36,97,0.0,24,1.85,0.09,0.02,53.86,0.01,0.01,0.01,0.01,0.69,0.14,0.01,0.02,0.02,0.0,0.01,0.69,11.59,3.37,4.17,0.01,0.02,0.0,19.31,2.93,0.0,0.02,0.01,0.05,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.0,0.27,0.73,0.0,44.83
תל אביב -יפו,439193,263478,782,262696,38780,9575,2005,5118,22,14,4506,58,2373,3,6,6,9,16,67,28301,9611,44572,36739,21,11,4,1264,58019,35,22,7,9,24,11,11,18,18,909,46,21,0,9523,10942,0.0,24,14.76,3.64,0.76,1.95,0.01,0.01,1.72,0.02,0.9,0.0,0.0,0.0,0.0,0.01,0.03,10.77,3.66,16.97,13.99,0.01,0.0,0.0,0.48,22.09,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.35,0.02,0.01,0.0,3.63,4.17,0.0,59.99
תל מונד,9826,7241,21,7220,666,485,8,3,0,1,152,2,50,0,0,0,0,2,0,893,193,1546,430,1,0,0,1,2148,0,0,0,0,0,0,0,0,1,27,3,0,0,139,469,0.0,24,9.22,6.72,0.11,0.04,0.0,0.01,2.11,0.03,0.69,0.0,0.0,0.0,0.0,0.03,0.0,12.37,2.67,21.41,5.96,0.01,0.0,0.0,0.01,29.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.37,0.04,0.0,0.0,1.93,6.5,0.0,73.69
תל שבע,10315,4409,47,4362,11,1,0,538,0,0,0,0,1,3,1,1,0,0,2,3,0,88,43,1,1,1,3632,17,3,0,5,1,0,0,1,3,1,0,1,0,0,3,0,0.0,24,0.25,0.02,0.0,12.33,0.0,0.0,0.0,0.0,0.02,0.07,0.02,0.02,0.0,0.0,0.05,0.07,0.0,2.02,0.99,0.02,0.02,0.02,83.26,0.39,0.07,0.0,0.11,0.02,0.0,0.0,0.02,0.07,0.02,0.0,0.02,0.0,0.0,0.07,0.0,0.0,42.74
תמר,1034,661,1,660,167,36,0,2,0,0,9,0,4,0,0,2,0,0,0,96,11,86,60,0,1,0,0,140,0,0,0,0,0,0,0,0,0,11,0,0,0,2,33,0.0,24,25.3,5.45,0.0,0.3,0.0,0.0,1.36,0.0,0.61,0.0,0.0,0.3,0.0,0.0,0.0,14.55,1.67,13.03,9.09,0.0,0.15,0.0,0.0,21.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.3,5.0,0.0,63.93
